P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2,P1_net,P2_net,C1_net_p1_to_p1,C1_net_p1_to_p2,C1_net_p2_to_p1,C1_net_p2_to_p2
0.92691474,0.011786556,0,0.061648447,-0.000349743,0,-0.001242065,0.001525834,0,-0.000640929,0.00035716,0
0.926499128,0.011786533,0,0.061648317,6.60E-05,0,-0.000819147,0.001525843,0,-0.000640935,-6.58E-05,0
0.926369475,0.01202804,0,0.061546871,5.56E-05,0,-0.000851467,0.001532632,0,-0.000625737,-5.54E-05,0
0.926211187,0.012303686,0,0.061437574,4.76E-05,0,-0.000884529,0.001539977,0,-0.000608029,-4.74E-05,0
0.926059831,0.012563965,0,0.061336495,3.97E-05,0,-0.000916097,0.001546795,0,-0.000591085,-3.96E-05,0
0.925345001,0.013701145,0,0.060933512,2.03E-05,0,-0.001039685,0.00157424,0,-0.000514237,-2.03E-05,0
0.925094944,0.014075852,0,0.060814506,1.47E-05,0,-0.001079764,0.001582424,0,-0.000487975,-1.47E-05,0
0.926073513,0.012540251,0,0.061345568,4.07E-05,0,-0.000912975,0.001546182,0,-0.000592639,-4.06E-05,0
0.923314305,0.016504466,0,0.06020973,-2.85E-05,0,-0.001344847,0.001624581,0,-0.000308285,2.85E-05,0
0.923470731,0.016292782,0,0.060250939,-1.45E-05,0,-0.001311632,0.001621679,0,-0.000324511,1.45E-05,0
0.923443322,0.01632974,0,0.060243586,-1.66E-05,0,-0.001317176,0.001622196,0,-0.000321685,1.67E-05,0
0.923325658,0.016489039,0,0.060212659,-2.74E-05,0,-0.001342306,0.001624375,0,-0.00030947,2.74E-05,0
0.923114243,0.016797948,0,0.060156293,-6.85E-05,0,-0.001411479,0.001628352,0,-0.000285639,6.88E-05,0
0.923109172,0.016797946,0,0.060156272,-6.34E-05,0,-0.001406346,0.001628353,0,-0.000285639,6.36E-05,0
0.923043423,0.016797936,0,0.060155995,2.65E-06,0,-0.001340084,0.001628373,0,-0.000285644,-2.64E-06,0
0.922822176,0.01706678,0,0.060108836,2.21E-06,0,-0.001364716,0.001631707,0,-0.000264783,-2.21E-06,0
0.922562655,0.017372158,0,0.060063308,1.88E-06,0,-0.001392167,0.001634931,0,-0.000240886,-1.88E-06,0
0.922315507,0.01765999,0,0.060022949,1.55E-06,0,-0.001417994,0.001637794,0,-0.000218247,-1.55E-06,0
0.921195934,0.018908483,0,0.059894799,7.84E-07,0,-0.001527322,0.001646912,0,-0.000118805,-7.84E-07,0
0.920813531,0.019316562,0,0.059869363,5.43E-07,0,-0.00156221,0.001648726,0,-8.60E-05,-5.43E-07,0
0.922338154,0.017633798,0,0.060026453,1.60E-06,0,-0.001415638,0.001637545,0,-0.000220312,-1.60E-06,0
0.918181429,0.021920239,0,0.059899935,-1.60E-06,0,-0.001772725,0.001646545,0,0.000124576,1.60E-06,0
0.918420475,0.021696181,0,0.059884196,-8.52E-07,0,-0.001755029,0.001647668,0,0.00010651,8.52E-07,0
0.918378862,0.021735339,0,0.059886768,-9.69E-07,0,-0.001758122,0.001647484,0,0.000109669,9.69E-07,0
0.918198907,0.021903929,0,0.059898706,-1.54E-06,0,-0.001771437,0.001646633,0,0.000123262,1.54E-06,0
0.917848028,0.022229947,0,0.059925785,-3.76E-06,0,-0.001797958,0.001644703,0,0.000149494,3.76E-06,0
0.917847761,0.022229946,0,0.059925777,-3.48E-06,0,-0.001797682,0.001644704,0,0.000149494,3.48E-06,0
0.917844268,0.02222997,0,0.059925671,9.13E-08,0,-0.001794116,0.001644711,0,0.000149496,-9.13E-08,0
0.917450089,0.022591323,0,0.059958516,7.13E-08,0,-0.001820787,0.001642373,0,0.000178486,-7.13E-08,0
0.916990867,0.022998937,0,0.060010138,5.86E-08,0,-0.001849639,0.001638703,0,0.000210994,-5.86E-08,0
0.91655488,0.023382006,0,0.060063069,4.44E-08,0,-0.001876286,0.001634948,0,0.000241382,-4.44E-08,0
0.914602272,0.025025161,0,0.060372543,2.41E-08,0,-0.001982231,0.001613139,0,0.000369116,-2.41E-08,0
0.913944029,0.025555378,0,0.060500586,6.61E-09,0,-0.00201339,0.001604188,0,0.000409208,-6.61E-09,0
0.916594788,0.02334721,0,0.060057954,4.82E-08,0,-0.001873892,0.001635311,0,0.00023863,-4.82E-08,0
0.90953918,0.028850494,0,0.061610733,-4.07E-07,0,-0.002169863,0.001528355,0,0.000641101,4.07E-07,0
0.909930551,0.028573134,0,0.061496546,-2.32E-07,0,-0.00215916,0.00153601,0,0.000622918,2.32E-07,0
0.909862302,0.028621695,0,0.061516262,-2.59E-07,0,-0.002161066,0.001534686,0,0.000626121,2.59E-07,0
0.909567739,0.028830345,0,0.061602308,-3.93E-07,0,-0.002169101,0.001528919,0,0.000639789,3.93E-07,0
