time,P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2
0.0,0.9,0.0,0.0,0.03,0.07,0.0
0.05,0.9002487688074888,5.25475776748998e-5,0.0,0.02975123119251123,0.06994745242232511,0.0
0.1,0.9004991814008079,0.00010522165804150512,0.0,0.02950081859919213,0.06989477834195851,0.0
0.15,0.9007512409041087,0.00015802282198226856,0.0,0.029248759095891273,0.06984197717801774,0.0
0.2,0.9010049489583155,0.00021095165471669207,0.0,0.028995051041684483,0.06978904834528332,0.0
0.25,0.9012603091592505,0.0002640087437555877,0.0,0.028739690840749503,0.06973599125624443,0.0
0.3,0.9015173240630379,0.0003171946806854185,0.0,0.0284826759369622,0.06968280531931459,0.0
0.35,0.9017759949380655,0.0003705100613162556,0.0,0.028224005061934548,0.06962948993868376,0.0
0.4,0.9020363217649854,0.0004239554856817796,0.0,0.0279636782350146,0.06957604451431823,0.0
0.45,0.9022983032367135,0.00047753155803927994,0.0,0.027701696763286522,0.06952246844196074,0.0
0.5,0.9025619367584294,0.000531238886869652,0.0,0.027438063241570575,0.06946876111313036,0.0
0.55,0.902827218447577,0.0005850780848774042,0.0,0.027172781552423107,0.06941492191512261,0.0
0.6,0.9030941431338635,0.0006390497689906497,0.0,0.02690585686613657,0.06936095023100936,0.0
0.65,0.9033627043592605,0.000693154560361115,0.0,0.02663729564073951,0.0693068454396389,0.0
0.7,0.9036328943780034,0.0007473930843641291,0.0,0.026367105621996578,0.06925260691563588,0.0
0.75,0.9039047041565915,0.0008017659705986339,0.0,0.026095295843408518,0.06919823402940138,0.0
0.8,0.9041781233737879,0.0008562738528871766,0.0,0.02582187662621218,0.06914372614711284,0.0
0.85,0.9044531404206195,0.0009109173692759232,0.0,0.025546859579380462,0.06908908263072408,0.0
0.9,0.9047297424003775,0.0009656971620346295,0.0,0.025270257599622453,0.06903430283796538,0.0
0.95,0.9050079151286168,0.0010206138776566861,0.0,0.024992084871383213,0.06897938612234332,0.0
1.0,0.9052876431331559,0.0010756681668590575,0.0,0.024712356866844067,0.06892433183314095,0.0
1.05,0.9055689096540778,0.001130860684582352,0.0,0.024431090345922262,0.06886913931541766,0.0
1.1,0.9058516889634792,0.0011861920957631127,0.0,0.024148311036520716,0.0688138079042369,0.0
1.15,0.9061359531886566,0.0012416630699972908,0.0,0.023864046811343454,0.06875833693000272,0.0
1.2,0.9064216831978025,0.0012972742731078217,0.0,0.023578316802197494,0.06870272572689219,0.0
1.25,0.9067088565852436,0.0013530263761708581,0.0,0.02329114341475638,0.06864697362382916,0.0
1.3,0.9069974476101177,0.0014089200555619794,0.0,0.023002552389882313,0.06859107994443803,0.0
