P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2,P1_net,P2_net,C1_net_p1_to_p1,C1_net_p1_to_p2,C1_net_p2_to_p1,C1_net_p2_to_p2
25.0,25.0,0.0,0.0,0.0,0.0,-150.0,-75.0,0.0,50.0,25.0,0.0
25.0,25.0,0.0,0.0,0.0,0.0,-150.0,-75.0,0.0,50.0,25.0,0.0
24.99996976405167,24.999984882025835,0.0,1.0078649443413865e-5,5.039324721706932e-6,0.0,-149.99843529778119,-74.99957165864934,0.0,49.99945575587584,24.999838742104103,0.0
24.999513201231885,24.999756600615942,0.0,0.00016226625603896322,8.113312801948161e-5,0.0,-149.9748102651233,-74.99310400829977,0.0,49.99123838570954,24.99740386825968,0.0
24.999011454832257,24.999505688878145,0.0,0.0003295125874007126,0.00016476836236048036,0.0,-149.94885142678984,-74.98599595704756,0.0,49.98220938423483,24.99472800676384,0.0
24.997280033196787,24.99863972973757,0.0,0.0009066372290670449,0.00045340844387555614,0.0,-149.85930711285485,-74.96146989037538,0.0,49.951064791404434,24.98549542151689,0.0
24.997038299974363,24.99851881080162,0.0,0.0009872116194071588,0.0004937120230108881,0.0,-149.84680955734612,-74.95804587163524,0.0,49.946718082824475,24.984206539326642,0.0
24.99697796659549,24.99848863026213,0.0,0.0010073218588368608,0.000503771479496901,0.0,-149.84369049558575,-74.95719128699568,0.0,49.945633262166105,24.983884855669842,0.0
24.996977981093032,24.998488634122506,0.0,0.0010073168081840332,0.0005037700177156801,0.0,-149.84369124279024,-74.95719140518382,0.0,49.9456335271827,24.9838849081421,0.0
24.992115066139228,24.996056029560002,0.0,0.0026282149997740437,0.001314578310786195,0.0,-149.59250451453812,-74.88834320872044,0.0,49.85827323322624,24.95796970758173,0.0
24.987118115192615,24.993552534051272,0.0,0.0042935440061148715,0.002148814500293379,0.0,-149.33482750442994,-74.81756625091987,0.0,49.76866816919638,24.931338877920773,0.0
24.96991944447326,24.984924742821143,0.0,0.010024615585907958,0.0050232544278683185,0.0,-148.4513043395272,-74.57420045408988,0.0,49.461498767979656,24.83980560866088,0.0
24.967524863853292,24.983721858473125,0.0,0.01082245224340359,0.005423921922529918,0.0,-148.32870229805664,-74.54033905933866,0.0,49.41888318771127,24.82707497158621,0.0
24.966927527871167,24.98342171350637,0.0,0.011021470000521696,0.005523892656241238,0.0,-148.2981344383636,-74.53189258926949,0.0,49.40825838453418,24.823899649256564,0.0
24.96692983544806,24.983422237040013,0.0,0.011020659360952223,0.0055236871000914605,0.0,-148.29825209326722,-74.5319089047941,0.0,49.40830027418582,24.82390725125187,0.0
24.932579581550094,24.966158446278882,0.0,0.022465080553575927,0.011273636980038705,0.0,-146.55090635188688,-74.04773413174274,0.0,48.80112343578551,24.64192993904839,0.0
24.89800591224713,24.948592201631982,0.0,0.03397186248257168,0.017114324731987495,0.0,-144.81271320895956,-73.55885909053998,0.0,48.19771651661198,24.458695038750864,0.0
24.780798057106633,24.888593581136206,0.0,0.0729532961050995,0.03703915485923911,0.0,-139.0706831400853,-71.91486467912482,0.0,46.20725506617541,23.844036324762598,0.0
24.764659787231224,24.880296430076754,0.0,0.07831860248146531,0.03979228873520715,0.0,-138.29794722208294,-71.69057917711363,0.0,45.939697484649585,23.760326351912024,0.0
24.76065135055397,24.87823062600106,0.0,0.07965092872896855,0.04047750364437984,0.0,-138.1066725208688,-71.63485950391478,0.0,45.87348596728085,23.739543540709303,0.0
24.76106379399559,24.8783047939521,0.0,0.07950464420120966,0.04044651233339288,0.0,-138.12625108816508,-71.63716358202788,0.0,45.8804691430528,23.74070512892073,0.0
24.68442760126763,24.838558551427553,0.0,0.10496037363711509,0.05361849984065068,0.0,-134.51874608474614,-70.57414372332325,0.0,44.632796941171044,23.344923745315693,0.0
24.60958207656012,24.79880692184539,0.0,0.12976420688438883,0.066741988314329,0.0,-131.08507169650764,-69.52915323186117,0.0,43.44773621291569,22.958269015291446,0.0
24.359452811968914,24.66451403355037,0.0,0.21257572778513456,0.11099008975955471,0.0,-120.22720530129791,-66.11657602851027,0.0,39.710606929888385,21.701103954158743,0.0
24.32468175059721,24.64601659367932,0.0,0.22410025892482568,0.1170897101021642,0.0,-118.79025588046619,-65.65975333622464,0.0,39.2168093696682,21.53278364649458,0.0
24.316116370793587,24.64142963346184,0.0,0.22693732690797752,0.11860070642400171,0.0,-118.43887956635638,-65.54702602003186,0.0,39.0961338872166,21.49132280001016,0.0
24.320380870276963,24.64220940197331,0.0,0.22542950429017922,0.11827287054064456,0.0,-118.61260123914764,-65.56896098976733,0.0,39.15757667225137,21.502449658663693,0.0
24.215150869955302,24.584038333183305,0.0,0.2601690830766576,0.1373492819915293,0.0,-114.37149331655442,-64.15894541803179,0.0,37.70414402876096,20.987794156497472,0.0
24.114493102889192,24.526667308659107,0.0,0.2933006694060169,0.1560667202092289,0.0,-110.45370635406074,-62.80156362105272,0.0,36.365129380533446,20.496484303186204,0.0
23.779640470056354,24.33414085830072,0.0,0.4034338820553709,0.21876493795714,0.0,-98.35055527206009,-58.456971606919694,0.0,32.241989523878935,18.93141254717854,0.0
23.731922942202445,24.307507612634744,0.0,0.4191772305813228,0.2274731336009465,0.0,-96.7367884190329,-57.87912255752748,0.0,31.692987379198854,18.72232427219177,0.0
23.72024759903957,24.300928428398056,0.0,0.42302571443030756,0.22962087978048648,0.0,-96.34588668643075,-57.73736358849756,0.0,31.56011128894891,18.67116954855779,0.0
23.731195120619837,24.303247117540515,0.0,0.4191939626495749,0.22866797968442676,0.0,-96.70913556534015,-57.79309518132819,0.0,31.686842887713052,18.698437675321156,0.0
23.610606976750386,24.231183997178135,0.0,0.4587047859712311,0.2519833560379065,0.0,-92.74395847920843,-56.267374300532516,0.0,30.34320300951071,18.155669477491596,0.0
23.496576328168477,24.16084707572565,0.0,0.49595155902774346,0.2746125721412529,0.0,-89.13999832585539,-54.82046034820834,0.0,29.125453525727096,17.645591385171873,0.0
23.11752864500442,23.92569483371558,0.0,0.6197028943633588,0.35016461331471727,0.0,-78.12389986285744,-50.2494601318202,0.0,25.415573166204336,16.04124944682716,0.0
23.0624447494528,23.892922973025453,0.0,0.6377624205687153,0.36076354528075083,0.0,-76.64024994687487,-49.641819857259364,0.0,24.916517609401883,15.826336798825597,0.0
